Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Madagascar,2020-05-07,182,2021-04-26,S.N501,2021-01-05,354,False,0.02,4952,84,71.49
Guinea,2020-05-14,48,2021-06-08,S.N501,2021-01-12,390,False,0.01,2376,17,50.69
Mexico,2020-05-18,4556,2021-11-11,S.N501,2021-01-16,542,False,0.08,163168,12355,7205.98
Spain,2020-05-25,27078,2021-11-28,S.N501,2021-01-23,552,False,0.02,503210,8626,10608.66
Canada,2020-06-08,45462,2021-11-23,S.N501,2021-02-06,533,False,0.02,2452818,40917,60075.58
Kenya,2020-06-09,1129,2021-09-23,S.N501,2021-02-07,471,False,0.02,23748,484,518.48
Seychelles,2020-06-25,35,2021-06-08,S.N501,2021-02-23,348,False,0.0,275,1,25.15
Senegal,2020-06-26,43,2021-08-06,S.N501,2021-02-24,406,False,0.02,3094,69,118.28
Laos,2020-07-07,1,2020-07-07,S.N501,2021-03-07,0,True,0.0,1,0,118.28
Côte d'Ivoire,2020-07-15,76,2021-04-28,S.N501,2021-03-15,287,False,0.01,5307,34,102.41
Nigeria,2020-07-16,262,2021-09-16,S.N501,2021-03-16,427,False,0.01,5241,70,412.25
China,2020-07-28,23,2021-06-15,S.N501,2021-03-28,322,False,0.04,180617,7750,2503.36
Egypt,2020-07-28,53,2021-05-10,S.N501,2021-03-28,286,False,0.06,14467,848,515.4
Indonesia,2020-08-06,125,2021-11-07,S.N501,2021-04-06,458,False,0.03,26878,909,10123.22
South Africa,2020-08-17,6581,2021-11-25,S.N501,2021-04-17,465,False,0.03,265222,8065,5808.34
Peru,2020-08-19,2184,2021-11-05,S.N501,2021-04-19,443,False,0.09,158724,14421,4203.56
Gambia,2020-08-21,67,2021-05-20,S.N501,2021-04-21,272,False,0.03,239,7,10.83
Mozambique,2020-08-22,377,2021-07-09,S.N501,2021-04-22,321,False,0.01,10609,117,283.4
Russia,2020-08-23,433,2021-09-29,S.N501,2021-04-23,402,False,0.03,167300,4597,15964.89
Angola,2020-08-25,610,2021-07-29,S.N501,2021-04-25,338,False,0.02,7537,178,111.55
United Arab Emirates,2020-08-28,428,2021-04-27,S.N501,2021-04-28,242,True,0.0,76026,234,1976.74
Zimbabwe,2020-09-01,272,2021-07-26,S.N501,2021-05-02,328,False,0.03,13064,415,184.18
Germany,2020-09-21,106413,2021-11-27,S.N501,2021-05-22,432,False,0.02,588703,10378,10862.88
Greece,2020-09-24,5748,2021-11-11,S.N501,2021-05-25,413,False,0.02,96515,1961,1823.86
Serbia,2020-09-28,79,2021-07-13,S.N501,2021-05-29,288,False,0.01,82185,811,2874.42
Jordan,2020-10-05,172,2021-11-01,S.N501,2021-06-05,392,False,0.01,75763,969,2252.69
Sudan,2020-10-06,27,2021-07-03,S.N501,2021-06-06,270,False,0.08,3735,282,93.97
France,2020-10-07,38236,2021-11-22,S.N501,2021-06-07,411,False,0.02,7473671,118738,195565.76
Pakistan,2020-10-10,357,2021-10-15,S.N501,2021-06-10,370,False,0.02,88336,1975,2740.23
Romania,2020-10-11,1732,2021-11-05,S.N501,2021-06-11,390,False,0.03,117019,3461,2805.98
